Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6028974435965003,0.21075946785251648,0.6901797165522456,0.15814821293445772
wacc,0.21808222901625324,0.12312123861156218,0.2303735694519942,0.06459288955426278
long_run_growth,0.11824841393072705,0.07514660688677678,0.09345670606916404,0.02721082115015041
terminal_growth,0.020144278773963877,0.04232344748151808,0.03733529122924577,0.01313803196651063
d_and_a_pct,0.017043601610614665,0.027494990549691255,0.01176860659873825,0.0035856907631266724
capex_pct,0.0028901427188057546,0.0053278454291403685,0.0004574232776662176,0.0001307189936121124
nwc_pct,-3.609624089078016e-06,0.0001690809830498333,4.099189846069343e-07,1.0376406646630699e-07
