Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.5637103459442641,0.2900636765747803,0.5708280737236721,0.1897855929649421
shrinkage,0.1828148424563137,0.15496785181669978,0.163315241281747,0.06766560818493149
bear_wacc,0.09556754403964951,0.10472809427524402,0.09014177430452071,0.032806924326817775
terminal_growth,0.0771584994246021,0.09535574842423741,0.08648583504446745,0.03418140527670757
persistence_cap,0.00851322144700398,0.11551397462041955,0.07901580482027769,0.08312835037074377
long_run_growth,0.1144929200083582,0.09633212554566456,0.07844397268784138,0.029139766485021514
macro_stress_level,-0.035365763691702766,0.11051465005623286,0.05473470629662933,0.06033114803939631
bull_wacc,0.028906669309301254,0.0463418126863444,0.03275540243794495,0.016192816632107258
jump_prob,-0.007991135072621851,0.025024803519430112,0.0034198433985395626,0.0011535473496041778
