Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.3832163897284237,0.2212762493901976,0.42364553409202493,0.22547682851039372
persistence_cap,0.04375743727415987,0.1318129351483575,0.14411466746732735,0.08548308620625378
macro_stress_level,0.1617642451813189,0.11202485324447417,0.11343694520191502,0.06873407830626958
shrinkage,0.1032822839363853,0.10274919217551315,0.1001826636306015,0.05006150402251986
bear_wacc,0.0925804359605002,0.08618383384607459,0.06046599997155879,0.02466754765728659
terminal_growth,0.05074322154432691,0.07428157773880185,0.05873065750226104,0.027841138324071545
long_run_growth,-0.009160528897455111,0.06756311603257166,0.0431907155417162,0.016257485298028927
bull_wacc,0.0058553975427732005,0.047899548715925236,0.015645258366103396,0.006867911589747175
jump_prob,0.011606834908888886,0.03841849533053641,0.011505360033970381,0.0041290495114951085
