Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6333057085952629,0.1685900300913579,0.700871718626478,0.20865514806626498
wacc,0.16742346881076478,0.10598216131195139,0.22404266309289608,0.07840939796209744
long_run_growth,0.07658629524527968,0.05903266012678281,0.08415866661375196,0.028556330094547052
terminal_growth,0.053734249069582116,0.05768979247928682,0.036955821750314075,0.012269747176194104
d_and_a_pct,0.009596399331825546,0.028705347937315932,0.011420018712874035,0.0036319569655681363
capex_pct,0.00015398495709355124,0.005146035510056727,0.00044873630665169317,0.0001358296598425707
nwc_pct,-3.826083484969282e-06,0.00013033771424035272,3.6948115144829255e-07,1.266592351825308e-07
