value_per_share,thesis_case,start_regime,end_regime,avg_wacc,year1_wacc,year5_wacc,avg_growth,year1_growth,year5_growth,avg_margin,year1_margin,year5_margin,jump_count,long_run_growth_draw,terminal_margin_draw,d_and_a_pct_draw,capex_pct_draw,nwc_pct_draw,terminal_growth_draw,year1_sbc_shares,year5_sbc_shares,ending_shares,upside_downside,year1_market_value,year2_market_value,year5_market_value,year1_blended_value,year2_blended_value,year5_blended_value,year5_blended_cagr,year5_alpha_vs_benchmark
46.839503627530554,Bull,Base,Bull,0.09812409494971859,0.09873502963062568,0.08827628182238423,0.3480817680683252,0.30664133033744134,0.3202729103725933,0.209543792580163,0.16385495232207736,0.25644029400346957,2.0,0.14414740782908375,0.24438192122642938,0.032636592000481725,0.038659312049567095,0.0224918506290264,0.03461422077134353,1331269.822045279,1696857.7266917147,89444618.23117091,3.4313626894541676,24.957028469192533,37.29030656603576,89.01529999779237,21.319049095396824,29.550639029051275,58.966668733717064,0.4102831636823534,0.3302831636823534
7.33306627890683,Base,Bear,Base,0.10743933570484317,0.1161185093828288,0.1031733889407997,0.04796292364786706,0.14531210270934575,0.036097601876716956,0.08268269608538006,0.09841696583529634,0.09526302935553198,1.0,0.11348245806976746,0.2035855099547248,0.03553333068814045,0.03963158874637924,0.023200933197254015,0.033954048788835664,1166899.748048238,480258.3941474866,85813880.46167307,-0.30623781656510596,10.615359546723345,13.43766049447533,10.567169319154534,9.479676258477879,9.887303018227707,7.743212281927761,-0.060343254693834836,-0.14034325469383485
12.285128842114116,Base,Base,Bear,0.10542536637336172,0.10159909690689375,0.11419991178035767,0.20897479252054718,0.2578577574469292,0.05539878989314988,0.15112907330883787,0.16236673511027905,0.10882198551165567,0.0,0.10663245612458028,0.16485354242699468,0.03384905609849413,0.04128570572347015,0.02314397851125643,0.032560976610716455,1281566.7421772075,973127.5672563561,88199149.84245066,0.16226384504390867,14.255681480955605,15.904872239179687,16.962092495016375,13.449320810163439,15.283192192034749,12.734579043323464,0.03796311619437298,-0.04203688380562702
18.46813963390229,Bull,Bear,Bear,0.1049087101293786,0.12965544986402933,0.11743683645433445,0.24809107318057738,0.2631153841224533,0.21067945749889078,0.17309968271164297,0.16085341019164798,0.17059649298779545,0.0,0.18233257617894771,0.24442818470954975,0.03443907923321948,0.04061416286417917,0.021998973886270503,0.03545613223225983,1286923.4682857394,1155385.913405081,87601553.4666804,0.7472222927059877,19.09288746128836,23.241032821113404,29.340264893513336,16.143704177460233,20.008820491288763,20.599585710287617,0.14276439266383067,0.06276439266383067
50.961256757797116,Base,Bull,Bull,0.09111112494984876,0.0962240069668273,0.08552736320301733,0.3785193873391918,0.3109764004527695,0.4,0.2175887152661898,0.18562297492801924,0.23720468405468284,0.0,0.17104403249164785,0.1766010398303052,0.03277065468588,0.041137654516194555,0.022946580606871846,0.03525366365297785,1335686.6026008858,1898928.9893022901,90385039.97409758,3.821310951541827,21.741809146166037,24.29649673238721,67.33215387844808,19.621512211528383,22.890920882157012,55.35058619465336,0.3925456707967998,0.3125456707967998
9.087374958670782,Base,Base,Bull,0.09688550677628505,0.1003619591265115,0.09226242001436136,0.22450055183024514,0.4,0.01,0.10178826354061603,0.1279028958858694,0.04105131469058758,1.0,0.1318857634500232,0.19016229504694854,0.033542493334010916,0.041974731853234776,0.023317027332342193,0.03531994662076283,1426388.1813550685,1016590.3736652387,88920861.0067449,-0.14026726975678505,14.924455537689903,12.710559600539588,20.26756481450387,13.568471302746229,11.973980065904076,10.972035573111484,0.007493943163251249,-0.07250605683674875
15.704235985135515,Base,Bear,Bear,0.12159610779539883,0.12205086327127931,0.12925633545305912,0.25052342046905196,0.28349527299863264,0.24146365497292308,0.15823916447117875,0.1449104678997896,0.1854609911227934,0.0,0.17986750057784676,0.2101565452745321,0.031792273887550064,0.038947296688400676,0.023998344063187918,0.03246770895031128,1307687.4915931053,1167741.3035837673,88323382.6404807,0.4857366116495283,11.100293060060217,13.406408666860766,30.31096393356818,10.413798652396933,11.896713626519258,19.37195767874026,0.12880702843023384,0.04880702843023384
14.989666401499234,Base,Base,Bear,0.11668603002165827,0.09578840595718421,0.11975597263495319,0.17150665621676497,0.24956659803561435,0.10510317459127524,0.16773103603101752,0.15490663892933262,0.19798041173784484,0.0,0.14473031904678385,0.16306433601057987,0.0345945327919244,0.03911847848886278,0.023478390158517774,0.033569865467014494,1273119.3051814714,838720.6244917568,87465811.98803647,0.41813305596019235,15.514947304889679,16.35912629324908,15.181928652076051,14.53362493805831,13.4610498923975,14.304050089330069,0.062372467541211396,-0.017627532458788606
41.501198206188995,Bull,Base,Base,0.09765797240802991,0.09763558629923558,0.10108137295712691,0.36370269640443337,0.2942188837332327,0.3863535649305572,0.22465094585499953,0.16592769312799616,0.2577878780181719,1.0,0.16758129754656875,0.23180242324605105,0.03334163687227319,0.04085021882986073,0.02188862955252108,0.03461919330337519,1318613.2284597377,1798588.7966927912,89481663.06209096,2.926319603234531,21.73370636695807,23.107784178426837,92.98016997672322,19.097465159950637,19.878614192647213,56.57845230273,0.39866985623087126,0.31866985623087124
17.22073441995599,Base,Base,Bull,0.09831240049942393,0.10183754308686645,0.09428211390166967,0.14259187790296365,0.19787412324215362,0.16492307206971704,0.16296334123798484,0.16140478302782635,0.1890870014136795,2.0,0.1785755232622249,0.20658332009885216,0.03384176176666899,0.04226843110849976,0.02344970858782209,0.031629955110274194,1220452.494388338,741841.6320222327,86825128.21549192,0.6292085543950792,17.736274999597615,15.399043642469652,27.04495096823861,15.699572494401643,13.689397048351006,18.9442477390975,0.1237778698309131,0.0437778698309131
