Regime,Peer Likelihood,Macro Prior,Final Start Probability
Bear,0.08196699816557296,0.16,0.2452573595421616
Base,0.8057346829272418,0.49,0.442300266165291
Bull,0.11229831890718521,0.35,0.3124423742925474
