Horizon,benchmark_cagr,benchmark_value,mean_cagr,median_cagr,p25_cagr,p75_cagr,mean_alpha,median_alpha,prob_beat_benchmark
1Y,0.08,11.415600000000001,0.46815220456220574,0.44481990220563117,0.17298070149210037,0.7513664056419029,0.3881522045622057,0.36481990220563115,0.8132
2Y,0.08,12.328848,0.24250437901855057,0.24290442729050088,0.09354658325512522,0.40093622666642226,0.16250437901855058,0.16290442729050086,0.7672
5Y,0.08,15.530797771776006,0.15924349408803637,0.15907527579606084,0.055387947642750845,0.2670989662610328,0.07924349408803637,0.07907527579606084,0.6934
