Horizon,mean,median,p10,p25,p75,p90,prob_above_current
1Y,7.597644891208003,7.557204373201467,5.483202072468228,6.153413724879387,8.695403956530782,9.846686955388158,0.0412
2Y,8.38314990490215,8.221796599513572,6.200523790441588,7.0466769828195295,9.511964517358976,10.811322853878169,0.1178
5Y,12.58022690597974,12.036435968396972,7.785172452429384,9.57577968215731,15.077090136339491,18.121542472565977,0.652
10Y,14.225254927489534,13.593493973570123,8.767468871385734,10.818649783500451,16.982990730091988,20.491319471791847,0.7706
