end_regime,count,mean,median,min,max
Bear,1491,16.66290483558457,15.072735006392433,3.507277432476013,52.37284978018811
Base,2006,22.253932006233402,20.056006479785022,3.7888093909388396,70.49782463369988
Bull,1503,26.970258753618253,24.955283935598146,3.881597421186431,81.89824259758846
