Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6320433556571325,0.15713149946684618,0.6666474685779552,0.19607534759397094
wacc,0.17377456086821247,0.10303084615588289,0.21655477216539357,0.06944812221656392
long_run_growth,0.07831612519698562,0.05958792118348767,0.07743092293494887,0.02566325619125518
terminal_growth,0.002019462700035413,0.039280603078550594,0.03669403423500402,0.014738766633958185
d_and_a_pct,0.012100767817674654,0.02749866913011115,0.011542078244458841,0.0031406125730376244
capex_pct,-0.0014189020733913862,0.005448146192807325,0.0004550739722029725,0.00015705884893973268
nwc_pct,-1.0565768530744701e-05,0.0001561105718892401,4.262559717290427e-07,1.4549434334077384e-07
