Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.5158204713765591,0.22662193017546814,0.591215335991571,0.21909555867697295
shrinkage,0.17847524586477692,0.16054334390336925,0.1555139957042731,0.06002189287919823
bear_wacc,0.08483467821823676,0.1285049675503427,0.09504686755568482,0.036571764073979406
long_run_growth,0.0920926646259832,0.08451441972838486,0.09184260772084063,0.05013152200162033
terminal_growth,0.11369643393668435,0.09315268355706344,0.08653664413715936,0.030194254719485458
macro_stress_level,-0.05634476755537733,0.08401360933674275,0.04744950725146312,0.0682842531630579
bull_wacc,0.031606089944062374,0.07200172125218442,0.03137663057801742,0.01310502815513871
persistence_cap,0.03086460252972152,0.047240544708232295,0.020769286541756325,0.023931472531422894
jump_prob,0.0011268287074608736,0.02103498549058182,0.0035137287936040334,0.0014484919290058754
