Variable,Low Case Value,Base Case Value,High Case Value,Low Delta,High Delta,Range
Terminal EBIT Margin,6.624111052883606,12.959597240055047,21.54699288970312,-6.3354861871714405,8.587395649648073,14.922881836819514
Capex % Revenue,14.407248700839782,12.959597240055047,11.363015559981504,1.4476514607847353,-1.5965816800735428,3.044233140858278
Growth Path,11.384834649199483,12.959597240055047,14.049786464958709,-1.5747625908555634,1.0901892249036624,2.664951815759226
Terminal Growth,11.715353479482781,12.959597240055047,14.061058929741975,-1.2442437605722656,1.1014616896869285,2.345705450259194
WACC Path,14.356327755172988,12.959597240055047,12.049345648515851,1.396730515117941,-0.9102515915391951,2.306982106657136
NWC % Incremental Rev,12.988864845978316,12.959597240055047,12.93096831152837,0.029267605923269713,-0.0286289285266772,0.05789653444994691
