Metric,Value
mean,16.359148426922136
median,15.362503194244574
std,5.808119119729613
p5,8.543254053541332
p10,9.510858146890135
p25,11.980006119322121
p75,19.8716177186262
p90,24.535942042810102
p95,27.40769649441961
prob_above_current,0.846
