Scenario,Value / Share,Upside / Downside,Avg WACC,Terminal Growth
Bear,7.219087741331549,-0.3170210273101657,0.10900000000000001,0.018
Base,14.61395712948778,0.38258818632807756,0.0995,0.03
Bull,39.71821234844893,2.757635983770003,0.0924,0.038
