Method,Implied EV,Implied Equity Value,Implied Value / Share
Peer Median EV/Revenue,700000000.0,910160000.0,12.325338506357097
Peer Median EV/EBITDA,757380000.0,967540000.0,13.102375426782924
Adj EV/Revenue,748174225.7320473,958334225.7320473,12.97771131930113
Adj EV/EBITDA,809503135.8356256,1019663135.8356256,13.808224171165142
