Horizon,mean,median,p10,p25,p75,p90,prob_above_current
1Y,9.270262453074176,9.164586868023626,5.65436615406128,7.190648640104595,11.232302522836473,13.014280973122203,0.324
2Y,10.161560494234958,9.69323315270961,5.6230271230647535,7.413491996930345,12.43142988073949,15.282869305756382,0.4152
5Y,14.86190610813318,12.63657535158005,5.539597880231867,8.218394355743118,19.35696977807922,27.179833575082945,0.6108
10Y,17.12828755937593,14.499874667189873,6.328144058137152,9.425277220630456,22.26611907835613,31.47409858492837,0.6896
