value_per_share,thesis_case,start_regime,end_regime,avg_wacc,year1_wacc,year5_wacc,avg_growth,year1_growth,year5_growth,avg_margin,year1_margin,year5_margin,jump_count,long_run_growth_draw,terminal_margin_draw,d_and_a_pct_draw,capex_pct_draw,nwc_pct_draw,terminal_growth_draw,year1_sbc_shares,year5_sbc_shares,ending_shares,upside_downside
35.357730260915595,Bull,Base,Bull,0.09812409494971859,0.09873502963062568,0.08827628182238423,0.32702190531032826,0.259512872426753,0.28463794681802096,0.19090568226771204,0.14901709166914487,0.23337679820538604,2.0,0.10490209527790774,0.20565642962729566,0.03125348230553568,0.038376216342911225,0.015114394799358846,0.03179810875343324,1604066.317405442,2085602.216666068,92636867.5649179,2.3451022006542663
4.668245098802571,Bear,Bear,Base,0.10743933570484317,0.1161185093828288,0.1031733889407997,0.015343601033769597,0.015713707594618306,0.03100429757422967,0.038114248896168025,0.03416631827564913,0.05540164226416855,1.0,0.04858560363828998,0.12850776180012904,0.03689931758644763,0.04071982132171524,0.01910247249271374,0.028050329281857952,1293573.2394225907,549636.5574776604,89131380.04569705,-0.5583495649193404
7.226899697481776,Base,Base,Bear,0.10542536637336172,0.10159909690689375,0.11419991178035767,0.16010512855721776,0.21901679840171928,0.01,0.11228591972444728,0.13887016832195992,0.05836866723220839,0.0,0.06551485690821626,0.10381722591884363,0.03359776651511939,0.04193742122328831,0.014796545611372296,0.029986586992414244,1552492.1018870596,1054117.4704096492,90240137.55737016,-0.31628195861099573
11.170974618916711,Base,Bear,Bear,0.1049087101293786,0.12965544986402933,0.11743683645433445,0.17677450819131985,0.17995269549064052,0.1473754276108314,0.13232924256686052,0.12477128800733012,0.12519872271011093,0.0,0.14962527519541297,0.18473193684605063,0.03475433953955302,0.042997525940061,0.014898827214749706,0.031766214877422226,1502741.5887552733,1147556.198167909,89779918.80089796,0.05685663376695471
33.4027385668276,Base,Bull,Bull,0.09111112494984876,0.0962240069668273,0.08552736320301733,0.35878243357725986,0.283602941570506,0.4,0.18012730898399137,0.16482303502985887,0.18391712024842893,0.0,0.17034023831284634,0.12288113237344224,0.03150490785557708,0.04164038696899337,0.014430702164674855,0.034362203436089006,1634746.4869721164,2353621.8301534452,93323371.96427044,2.1601455597755534
6.968924280735643,Base,Base,Bull,0.09688550677628505,0.1003619591265115,0.09226242001436136,0.21057394196493423,0.4,0.01,0.08399740707650016,0.11045097131256146,0.03,1.0,0.10650586918272784,0.14503898931548592,0.032997955469706394,0.043319547240405445,0.015118549819824627,0.03446991325873959,1782985.2266938358,1279650.493104666,91775729.6808166,-0.3406883367326733
12.101512691603675,Base,Bear,Bear,0.12159610779539883,0.12205086327127931,0.12925633545305912,0.22168049796256262,0.25769117324693747,0.20875292207900084,0.13691259639691325,0.1297163782775154,0.15805381632190496,0.0,0.18469289006777384,0.17775478810825468,0.030011413701824523,0.03725082470837632,0.01635701551415786,0.029835027044255828,1601746.2726018054,1385356.3443253078,90750695.58515774,0.14489240223308175
10.46485220252018,Base,Base,Bear,0.11668603002165827,0.09578840595718421,0.11975597263495319,0.13698095140446187,0.21749238259997267,0.06851528371128227,0.13051066124932942,0.13169634516763984,0.14760314485091314,0.0,0.12744376116078382,0.10093809281920957,0.03505923632150949,0.03759276292684739,0.015418824692468469,0.03162603138389855,1550550.665562879,962367.0991280319,89607045.13741013,-0.009947757566681092
25.508252231622624,Base,Base,Base,0.09765797240802991,0.09763558629923558,0.10108137295712691,0.3272378688745056,0.20841928805216986,0.3416919477143876,0.17974092123843996,0.12860461729302503,0.20235290967374472,1.0,0.1255701060905118,0.16408984619658393,0.03260597077434724,0.043470913566160285,0.014693706698864441,0.030406189117984685,1538995.527320644,2085514.5924568996,92659942.25078484,1.4132688960853947
13.76004482810866,Base,Base,Bull,0.09831240049942393,0.10183754308686645,0.09428211390166967,0.12966557642286552,0.17184073904705313,0.16755487994977245,0.14142060107036233,0.14486716291590765,0.1641208855564941,2.0,0.1825936157031501,0.17191221088201558,0.03358348109451859,0.04390836083122381,0.01536548365231213,0.02847367705419556,1492410.5183992013,934686.1715618158,89083113.11711727,0.30180178127801893
12.983157563411192,Base,Bear,Bull,0.10379426440160996,0.11538286689324977,0.09526888966628794,0.1974631341219842,0.1678249143136311,0.32424466547992786,0.11799239566361652,0.07672348366622606,0.1459129332678584,1.0,0.11561598132155121,0.11953189336607374,0.03537595317702004,0.0424982296193109,0.015489177547369054,0.02864604344839468,1487296.1211329994,1240610.1097407262,89580780.94569781,0.22830251309472005
11.409893445737614,Base,Base,Base,0.10029724728506013,0.11039069490638334,0.10172120543583021,0.14673292865899645,0.13630854574152834,0.1787339392224219,0.12173867439149808,0.07839258624472682,0.14273331855020027,0.0,0.08204950568413791,0.17592194353934804,0.0368638798878425,0.041312000245060446,0.015928821708556976,0.026429930033659822,1447158.1071593582,1008633.4883188894,89095021.23340929,0.07946011785597107
