Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6329151380737387,0.17235163989450436,0.6632486227562394,0.15210808405950146
wacc,0.18823269837936188,0.1114588587897395,0.21611322539979927,0.05990335030987101
long_run_growth,0.07742691039270522,0.06490842968202294,0.08143712530150526,0.02657175769380925
terminal_growth,0.021125943506470218,0.040058393057445026,0.04155845121285839,0.015102687563977516
d_and_a_pct,0.011147707247964662,0.023511960420640295,0.011649713290425304,0.0033050318000667754
capex_pct,-0.000885253399121941,0.005904170693960979,0.00045721138457551494,0.00013350576365236323
nwc_pct,1.6075218870309786e-05,0.00013188950126642645,4.1644185108077537e-07,1.1433484600121236e-07
