Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.482063252803923,0.23651903468816768,0.5311300058033359,0.190259789915654
shrinkage,0.07461908674643175,0.12024249069462184,0.130615103246064,0.057450356426949206
persistence_cap,0.030379539799987237,0.08819767290848324,0.08381409194957343,0.09275857253947903
terminal_growth,0.04727838817994045,0.10876069678840553,0.07129091098487991,0.029669237151517272
long_run_growth,0.09257542164928796,0.09666876917583203,0.06753828092574803,0.03441634859625814
bear_wacc,0.08060623890362144,0.07282749040311699,0.06486580258218881,0.029125745870844842
bull_wacc,0.02950633826603099,0.04718974767794088,0.021499324988777237,0.008529811751338066
jump_prob,0.01438005803872798,0.021084884787091165,0.002838371439455774,0.0011376370621233689
macro_stress_level,-0.0022136918354871975,0.005330016238822762,0.00025792265854436547,0.0006210132487113999
