Regime,Peer Likelihood,Macro Prior,Final Start Probability
Bear,0.08196699816557296,0.176,0.25078512089624894
Base,0.8057346829272418,0.486,0.4406489115084051
Bull,0.11229831890718521,0.3380000000000001,0.308565967595346
