Regime,Peer Likelihood,Macro Prior,Final Start Probability
Bear,0.08196699816557296,0.325,0.2954093972096002
Base,0.8057346829272418,0.45,0.4311884253743244
Bull,0.11229831890718521,0.22500000000000003,0.2734021774160755
