Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6459685518474914,0.19333862710124655,0.6802954764141729,0.17780769582495684
wacc,0.1863748561802512,0.11497864519832028,0.23899783210708753,0.06899353142155783
long_run_growth,0.06541008874618934,0.0642025740278136,0.09087291773758178,0.027357543822595944
terminal_growth,0.02677326884716114,0.06046702398439472,0.04013447187536353,0.0139086390314195
d_and_a_pct,0.0017968489129139165,0.027172657028394505,0.011420104610629239,0.003425371160845393
capex_pct,0.0008224267376358335,0.005214879214518549,0.00046193755858191796,0.00012398676128302924
nwc_pct,-2.190797030647967e-05,0.0001422769684600379,4.2379940398889104e-07,1.31136108857293e-07
