Metric,Value
mean,17.013193266721952
median,16.38631094363039
std,5.239001332468813
p5,9.612303109612693
p10,10.644723103593009
p25,13.08690413227587
p75,20.42767635363876
p90,24.349258258746254
p95,26.517475943030636
prob_above_current,0.9036666666666666
