Variable,Low Case Value,Base Case Value,High Case Value,Low Delta,High Delta,Range
Terminal EBIT Margin,11.024027636387423,14.61395712948778,23.737872300974818,-3.5899294931003567,9.123915171487038,12.713844664587395
Long-Run Growth,12.710790766876853,14.61395712948778,17.426581433266303,-1.9031663626109268,2.8126243037785237,4.71579066638945
Start Growth,13.161784545939128,14.61395712948778,16.203932126963526,-1.452172583548652,1.5899749974757462,3.0421475810243983
Terminal Growth,13.086565557972389,14.61395712948778,15.971638526390342,-1.5273915715153912,1.3576813969025618,2.885072968417953
WACC Path,16.136164161329965,14.61395712948778,13.379492636348559,1.5222070318421856,-1.234464493139221,2.7566715249814067
Capex % Revenue,14.786146034091256,14.61395712948778,14.42405392554059,0.1721889046034768,-0.18990320394718907,0.36209210855066587
NWC % Incremental Rev,14.61938741258041,14.61395712948778,14.608645345977157,0.005430283092630717,-0.005311783510622448,0.010742066603253164
