Scenario,Value / Share,Upside / Downside,Avg WACC,Terminal Growth
Bear,6.06523955641915,-0.4261835802820104,0.10900000000000001,0.018
Base,12.009185331576635,0.13615755265625684,0.0995,0.03
Bull,31.926308971323625,2.020464424912358,0.0924,0.038
