Horizon,mean,median,p10,p25,p75,p90,prob_above_current
1Y,7.597124725586684,7.5640770152369186,5.4861103806576,6.120205677033323,8.728758492757315,9.88906058486915,0.036
2Y,8.372199687688266,8.164646221036682,6.242932335470849,7.046311077833212,9.5222723694331,10.803353197940158,0.12066666666666667
5Y,12.612244713266122,12.114487466227345,7.700914465067357,9.55005299262146,15.25196150366856,18.19729660608431,0.6446666666666667
10Y,14.262346188681338,13.662204253977364,8.708386022258024,10.760799291491116,17.24035938546561,20.749610613253516,0.7683333333333333
