Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6637582581225752,0.19672824429938582,0.675305543106484,0.17780949442007038
wacc,0.2239027011568505,0.11071852440330983,0.22667585589121944,0.07088995123543881
long_run_growth,0.06207007908100266,0.06926952647089141,0.08362446828530674,0.02766784730998371
terminal_growth,0.03145162379564932,0.03569462953016292,0.037350137040475316,0.014770102988960346
d_and_a_pct,0.0079740931652184,0.028379706865767268,0.011366112208944524,0.0033078484840613613
capex_pct,-0.0007911543056373756,0.006088485330668687,0.0004427536677323679,0.0001287622954308325
nwc_pct,3.346092619692845e-05,0.00016573984184205926,4.3802730365223265e-07,1.2833551989655025e-07
