Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.7628994380349066,0.30006249981686645,0.5906761519259982,0.16057196198763998
shrinkage,0.0854326244500847,0.15805158222353446,0.18024618389750804,0.09467762731832081
terminal_growth,0.11241356809544516,0.09717957710694625,0.09264719006967352,0.04676230157975732
long_run_growth,0.06857730112188157,0.09623203319012438,0.08146603825566376,0.036609418108630325
bear_wacc,0.029284180213303514,0.11654480375871108,0.08136279957336656,0.03957262615371634
macro_stress_level,-0.060826607701363916,0.061091824946010016,0.05587996872108837,0.05838336020693187
persistence_cap,0.004350249870540294,0.0756650574940501,0.04504218502277348,0.0548512630879853
bull_wacc,0.013745486062326374,0.05655955285295388,0.027571503013212904,0.012894561103786109
jump_prob,0.0018570869724646804,0.019889411527395297,0.0033095604670283943,0.0014276700217291424
