Scenario,Value / Share,Upside / Downside,Avg WACC,Terminal Growth
Bear,6.614693687803171,-0.37420116482467636,0.10900000000000001,0.02
Base,19.060521340223325,0.8032659735310619,0.0995,0.032
Bull,33.04887072919566,2.1266670510118884,0.0924,0.036
