end_regime,count,mean,median,min,max
Bear,1449,10.648837223440442,9.653883480803083,3.7116607430378306,34.74820277269424
Base,2025,14.099431120840155,12.96107562281455,3.8508762070581,43.28946858804122
Bull,1526,17.08562482891777,15.83322737324075,4.262171428356691,53.047370206650406
