Metric,Value
mean,14.010835329079008
median,12.693895035969128
std,7.067607018309054
p5,5.3502897811809795
p10,6.3131937341532325
p25,8.687371828331077
p75,17.82350310061155
p90,23.486570517685102
p95,27.457370718035335
prob_above_current,0.6264
