Variable,Low Case Value,Base Case Value,High Case Value,Low Delta,High Delta,Range
Terminal EBIT Margin,9.059119977755099,12.009185331576635,19.506866300058586,-2.950065353821536,7.497680968481951,10.447746322303487
Long-Run Growth,10.52152789889141,12.009185331576635,14.170177236363024,-1.487657432685225,2.160991904786389,3.648649337471614
Terminal Growth,10.754033951721771,12.009185331576635,13.124875447003175,-1.2551513798548637,1.1156901154265402,2.370841495281404
WACC Path,13.2600762570424,12.009185331576635,10.994750106948375,1.2508909254657645,-1.0144352246282597,2.2653261500940243
Start Growth,10.94651992588187,12.009185331576635,13.146324431764993,-1.0626654056947658,1.1371391001883584,2.199804505883124
Capex % Revenue,12.150683520540928,12.009185331576635,11.85313021583661,0.14149818896429345,-0.15605511574002584,0.2975533047043193
NWC % Incremental Rev,12.013647728413064,12.009185331576635,12.004820313118248,0.004462396836428795,-0.004365018458386771,0.008827415294815566
