Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6039636308312745,0.2066942083845568,0.6657384692463097,0.18869467074272073
wacc,0.23584584029987815,0.1293967454393058,0.22879561876795124,0.08300927194700493
long_run_growth,0.029269414432349358,0.07499617736756506,0.087345120483481,0.028078198716623537
terminal_growth,0.04277151784416605,0.046502742944393875,0.0406586501826608,0.01492794976832536
d_and_a_pct,0.0034511031924706983,0.02560261371858885,0.011423849406976216,0.003409685058839641
capex_pct,0.0007814150551629546,0.004525072139138039,0.00045213323532115814,0.0001318019631324371
nwc_pct,2.4124448326633947e-05,0.0001353142856488941,4.153054150356358e-07,1.1701359088002738e-07
