Metric,Value
mean,13.92931344416101
median,13.43311250913817
std,4.2253589172815165
p5,7.886734783543427
p10,8.78989443864756
p25,10.764885494545611
p75,16.641717611663765
p90,19.626615680322285
p95,21.640631016995624
prob_above_current,0.7662
