Scenario,Value / Share,Upside / Downside,Avg WACC,Terminal Growth
Bear,6.422003884128865,-0.39243104218269964,0.10900000000000001,0.02
Base,12.009185331576635,0.13615755265625684,0.0995,0.03
Bull,26.140835525489038,1.473115943754876,0.0924,0.034
