Scenario,Value / Share,Upside / Downside,Avg WACC,Terminal Growth
Bear,926.1648221797508,-0.4755875532643956,0.10900000000000001,0.022
Base,2252.1236927250393,0.2751960210209159,0.0995,0.032
Bull,3443.702268790778,0.9498908718593386,0.0924,0.036
