end_regime,count,mean,median,min,max
Bear,1468,2210.328809450059,2122.3534317871618,271.6162526073721,6230.019150232569
Base,1970,3100.2607542153155,2919.0616191117138,298.4051621883288,8803.222065629194
Bull,1562,3711.234307621462,3502.618078061826,512.1409269711739,10750.231451607802
