Metric,Value
mean,3029.8448733163164
median,2796.847561329111
std,1509.9055967803063
p5,951.6129799438114
p10,1288.0120518719607
p25,1914.8021856012851
p75,3921.500575121324
p90,5035.562460777418
p95,5840.4947662574095
prob_above_current,0.7868
