Horizon,mean,median,p10,p25,p75,p90,prob_above_current
1Y,1370.004421560438,1393.2883016037986,922.1576416162031,1093.398339985931,1618.5747016777675,1801.1946701669149,0.1214
2Y,1506.865867437721,1489.5855042200155,911.2998030906737,1170.688429907269,1819.1686673433724,2114.539396835486,0.286
5Y,2178.4938314541264,1960.430230655018,884.7347820871354,1329.527958504446,2824.7666044866173,3726.9233744632406,0.5744
10Y,2533.7249678350895,2271.3127395505526,1007.8422042550342,1538.4730352642484,3291.433323832716,4356.684848727032,0.6722
