Horizon,benchmark_cagr,benchmark_value,mean_cagr,median_cagr,p25_cagr,p75_cagr,mean_alpha,median_alpha,prob_beat_benchmark
1Y,0.08,1907.388,-0.19389531700748366,-0.1647869919654502,-0.37341067959582575,-0.0345215688029277,-0.27389531700748365,-0.24478699196545023,0.0958
2Y,0.08,2059.97904,-0.04545264863650756,-0.03320110039184343,-0.15030479373303537,0.07073417234991175,-0.12545264863650757,-0.11320110039184343,0.2312
5Y,0.08,2594.9803164364807,0.06664152852403654,0.07216952007689392,-0.01043569669544106,0.1542894845043919,-0.01335847147596346,-0.007830479923106079,0.4772
