Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.6769033786722354,0.14559061547504373,0.7016372732379524,0.1894696496220902
wacc,0.16151219650271698,0.09850001238517038,0.21400071812393023,0.07362878566009531
long_run_growth,0.08841286178201961,0.07844049250960598,0.0980220822685054,0.025445509343357365
terminal_growth,0.003639536355864683,0.059464995734252894,0.036335752828580835,0.009460298145458495
d_and_a_pct,0.011355556047492579,0.026582270330600268,0.012935982987094079,0.004133756941614844
capex_pct,0.0003977227539378979,0.0053879273740273445,0.0004976699208107602,0.0001366422927468097
nwc_pct,-1.6751383336904343e-05,0.00015169992804053086,5.067733028554303e-07,1.9149779515527653e-07
