Variable,Low Case Value,Base Case Value,High Case Value,Low Delta,High Delta,Range
Terminal EBIT Margin,1117.6891393953142,1674.0228379503515,2978.36100171228,-556.3336985550372,1304.3381637619286,1860.6718623169659
Long-Run Growth,1387.4751298090437,1674.0228379503515,2028.0075371263551,-286.5477081413078,353.9846991760037,640.5324073173115
Start Growth,1484.8710173344084,1674.0228379503515,1879.242534333333,-189.15182061594305,205.2196963829815,394.37151699892456
Terminal Growth,1468.9742548963106,1674.0228379503515,1856.2882451094995,-205.04858305404082,182.26540715914803,387.31399021318884
WACC Path,1879.0323177956661,1674.0228379503515,1507.6585841876902,205.00947984531467,-166.3642537626613,371.37373360797596
Capex % Revenue,1699.8244241165025,1674.0228379503515,1646.697242520058,25.801586166151083,-27.32559543029356,53.12718159644464
NWC % Incremental Rev,1674.84032443083,1674.0228379503515,1673.192753855551,0.8174864804784647,-0.8300840948004407,1.6475705752789054
