value_per_share,thesis_case,start_regime,end_regime,avg_wacc,year1_wacc,year5_wacc,avg_growth,year1_growth,year5_growth,avg_margin,year1_margin,year5_margin,jump_count,particle_quality_draw,long_run_growth_draw,terminal_margin_draw,d_and_a_pct_draw,capex_pct_draw,nwc_pct_draw,terminal_growth_draw,year1_sbc_shares,year5_sbc_shares,ending_shares,upside_downside,year1_market_value,year2_market_value,year5_market_value,year1_blended_value,year2_blended_value,year5_blended_value,year5_blended_cagr,year5_alpha_vs_benchmark
4501.1915452942085,Bull,Bull,Bull,0.08941191011300345,0.08293279536998285,0.08447500313633,0.2681765924494514,0.2810586689247371,0.30920049915848835,0.16294124170147523,0.15535354579939495,0.1836010170007606,0.0,-0.4210127002486496,0.1964622780641001,0.1864856574810997,0.033876720744508086,0.04843253792590459,0.03276517577246176,0.03740807120868481,291802.0506598122,373022.7390740097,53434444.72386609,1.54866176620475,2207.1107351667965,2925.605210013724,6138.43184248322,1956.6724846499778,2254.717798795815,4248.317723454927,0.191901427073907,0.111901427073907
1994.1272655501534,Bull,Base,Base,0.09696028854583262,0.08326852091353677,0.09343190352502861,0.1518579946255136,0.228377524138288,0.10015506459013442,0.13112577781197313,0.12523005012363483,0.14513692418707477,0.0,-0.35775710528177385,0.2118635200198722,0.1916197552609674,0.03372165267468047,0.049390289227602024,0.03259033095733711,0.036543383473419934,279802.23640251876,229920.80112923463,53080516.9070277,0.12911345085224712,1798.909810664635,1934.2957387614913,2681.757562886377,1467.9450095862624,1404.3700953602893,1786.73899743776,0.0023263905600492407,-0.07767360943995076
1350.8023459801213,Base,Bear,Bear,0.09963114972965667,0.10562340017721282,0.10390601002951254,0.16519342477741372,0.18540395077213984,0.041044476250799704,0.11408764689534139,0.11388036511076977,0.10795113110687858,0.0,-0.34772546745535815,0.18001278479420182,0.17442329096638018,0.03359032461322796,0.05041297322538283,0.03362086071943237,0.03420236393864966,270013.63176121283,241795.07661992178,53290013.91869471,-0.23514956911832774,1280.5686359868791,2350.778096654243,1930.2163570293183,908.2741428165562,1549.9838518479628,1158.4921240699357,-0.0808729258836679,-0.16087292588366792
4034.8279619160676,Bull,Bull,Base,0.09260292251454585,0.08635395681494538,0.08818006607863688,0.24388034787899296,0.26521976016232757,0.24383908081980243,0.16829409420486013,0.1390781561590395,0.19273415556979678,0.0,-0.24338352317768916,0.2053774055694542,0.19190444579833554,0.03378577889829366,0.049406577961348806,0.03265350930022136,0.036300882444033296,288194.23302491487,338947.7592771638,53366623.602369554,1.2845976795855658,2154.5467243006833,2829.0668111561395,4839.704399900319,1655.9160872090938,1915.3790918896652,3711.7253434543472,0.16014456109584319,0.08014456109584318
4972.466287678316,Base,Bull,Bull,0.09300692096397223,0.08168930762255217,0.08370629343381485,0.31554699570409184,0.29541418564008365,0.30650595132332153,0.16744151618408096,0.13412749919651262,0.18208137995211018,0.0,-0.35902625381747727,0.1870335877857299,0.17948907155676716,0.03361741302027021,0.04940015325105617,0.03350398559220054,0.034288537207353004,295071.97835120774,448390.8130751964,53812831.29057111,1.8155066461006264,1727.8562879669537,2864.733441577886,6039.717800763474,1545.9409377819504,2326.0684912646952,4633.984426560476,0.21279627915084443,0.1327962791508444
1962.342617713014,Base,Bear,Base,0.10463785946758716,0.10862171731067387,0.08694777116122093,0.15714265659663237,0.2065872838704733,0.1899460463964064,0.1278761861626328,0.11924866045393406,0.1419160748012335,1.0,-0.45042358443122354,0.16577347513696952,0.16218988191246983,0.03390421083760082,0.050374236704479686,0.033483817111384394,0.03327870537069392,274838.8128304701,235251.64722040374,53153506.595073156,0.11111636810657055,1393.5359559284595,1371.1376532644188,2741.234405094983,954.3178365059014,915.0405678713156,1724.9078085825608,-0.004708902384097158,-0.08470890238409716
4399.958841964146,Bull,Bull,Bull,0.08621395069649548,0.08612940136967065,0.0827321873084072,0.2803325929743,0.2855798954049227,0.26301798922646996,0.15563684317742274,0.15328570691785637,0.16136186042724865,0.0,-0.29113360443809577,0.21037012818341302,0.1987108266286056,0.0341552553378447,0.04886138193835566,0.03259564108376977,0.03645796903462064,292831.9044755808,391755.05827371706,53517681.193552695,1.4913418503845457,2148.3239553458875,2872.852276209214,6060.9072787718715,1815.3748717929957,2327.8233887818924,4008.721204987216,0.17814328581243344,0.09814328581243344
1455.0973973730675,Base,Bull,Base,0.08622452473770265,0.08831584236174796,0.0835909618357643,0.13469422694216138,0.19856887022240038,0.09540599333846587,0.09913501599963251,0.11849795613053421,0.09433194830667699,1.0,-0.3406624890832971,0.1848462504448258,0.17860043247491628,0.03378449607929179,0.0499465667206685,0.033556163908796365,0.03420186613938061,273012.3628775494,213273.30795482075,53154298.14562864,-0.17609569255814084,1792.9290391180687,1900.5635858680237,1910.8920541121627,1269.7587927618042,1203.7380436813703,1172.5853671978268,-0.07864746318482374,-0.15864746318482376
654.5950178193872,Bear,Bear,Bull,0.08725312223295427,0.1112143400775144,0.08,0.034269083835659075,0.01,0.06690663435501223,0.07429941272399469,0.07437505917392208,0.07140046268680313,2.0,-0.39725570622569006,0.09060236425366533,0.11180755316020935,0.0338853909602955,0.05492135090047506,0.0378979144058346,0.024884281920798522,230059.77658602086,134645.90976148713,53044927.93507993,-0.6293556322861745,808.6866737628676,868.8724677953072,1208.6773448890656,457.2849563933607,501.9789991318603,453.7654095796743,-0.23798552837254383,-0.31798552837254385
4679.875860256699,Bull,Bull,Base,0.08955157649283421,0.0887328580264247,0.09266234094525372,0.30510576209561674,0.3318782353550098,0.2224184526310477,0.17647704196050037,0.165508841818968,0.18303148756511278,0.0,-0.275310947217492,0.21356810816631322,0.19655374144507437,0.03416982208384676,0.048424583420897324,0.03275302204139132,0.03700957373359027,303377.83095599734,429704.5383208758,53698677.70929334,1.6498362834815121,2381.63198647845,3158.9022174875504,5810.95453031979,1986.029179309895,2783.203954195627,4303.680557328502,0.19499186148402137,0.11499186148402137
