Metric,Value
mean,21.9544770481691
median,19.769352566683587
std,12.231137854813161
p5,6.232663722703297
p10,8.22709416975563
p25,12.504693768722873
p75,29.101080528477567
p90,39.070887138531525
p95,45.457613778617315
prob_above_current,0.8194
