end_regime,count,mean,median,min,max
Bear,1468,16.70886199290054,15.039930372175789,3.5054137057901444,55.724988349127564
Base,1974,22.169833138630707,20.563120622588457,3.7155844933396533,66.64732264974081
Bull,1558,26.624213876515082,24.182571346894584,3.903363280651054,83.2597100662256
