Scenario,Value / Share,Upside / Downside,Avg WACC,Terminal Growth
Bear,6.801783137779346,-0.35650112225360975,0.10900000000000001,0.02
Base,26.728773294589352,1.5287391953253882,0.0995,0.035
Bull,43.99615503797498,3.162360930745031,0.0924,0.038
