Regime,Peer Likelihood,Macro Prior,HMM Posterior,Final Start Probability
Bear,0.084177401240623,0.16,0.00761126436501655,0.2218082981345347
Base,0.837934531178071,0.49,0.9759043711935816,0.5037043829550055
Bull,0.07788806758130598,0.35,0.016484364441401785,0.27448731891045974
