Horizon,mean,median,p10,p25,p75,p90,prob_above_current
1Y,15.276623233962853,14.962053448298315,9.525250773993028,12.192539929827609,18.2889331617109,21.359178467764917,0.8582
2Y,16.61948146938927,16.21051014381017,9.307373525545557,12.521951224048157,20.31689817635365,24.4009172825644,0.8488
5Y,25.58698797139501,22.560750440274,9.22280296934192,14.17335325782135,34.43467127174992,46.54997073083614,0.865
10Y,30.038812207954518,26.4428352229091,10.623617833327428,16.53418743282717,40.54050014248227,55.04841365200133,0.9016
