Variable,First Order (S1),First Order Conf,Total Order (ST),Total Order Conf
terminal_ebit_margin,0.48884263144884177,0.21874633221354606,0.49768370531177814,0.1810327160576807
shrinkage,0.03403205186176762,0.11354498853695268,0.13731789860747198,0.06480696691249428
bear_wacc,0.002782596979324271,0.10467774370730525,0.07684328865769174,0.03247615048146876
terminal_growth,0.04837697005291392,0.08245347514483001,0.07662138562062426,0.032403856842228594
long_run_growth,0.053580287858492365,0.0835142294090966,0.06730855910904614,0.026426848082723622
persistence_cap,-0.061702610164370515,0.0995516880903957,0.027740582700257223,0.039277098944673884
macro_stress_level,-0.000625301274818949,0.009195072012130717,0.02533184345012743,0.033555105586507004
bull_wacc,0.018115418557897507,0.04120069294211129,0.02153877986944814,0.009544734920841694
jump_prob,0.010813237157969805,0.019124938730375348,0.0033188941022199853,0.0011663988571404482
