quarter,rev_growth_yoy,ebit_margin,fcff_margin
2024Q2,0.360,0.118,0.052
2024Q3,0.350,0.123,0.056
2024Q4,0.374,0.135,0.063
2025Q1,0.370,0.129,0.060
2025Q2,0.340,0.122,0.057
2025Q3,0.390,0.098,0.044
2025Q4,0.450,0.101,0.046
